Entry Time,Entry Price,Exit Time,Exit Price,Strategy,PnL,Status
2025-05-31 01:50:00,103678.69,2025-05-31 01:51:00,103579.99,MACD,-98.69999999999709,Loss
2025-05-31 02:09:00,103629.62,2025-05-31 02:35:00,103491.03,MACD,-138.5899999999965,Loss
2025-05-31 03:15:00,103319.06,2025-05-31 04:05:00,103534.76,MACD,215.6999999999971,Win
2025-05-31 04:25:00,103799.25,2025-05-31 04:42:00,103745.6,MACD,-53.64999999999418,Loss
2025-05-31 05:41:00,103720.0,2025-05-31 05:51:00,103632.27,MACD,-87.72999999999593,Loss
2025-05-31 06:12:00,103561.41,2025-05-31 07:00:00,103827.25,MACD,265.8399999999965,Win
2025-05-31 07:35:00,103784.83,2025-05-31 07:51:00,103687.52,MACD,-97.30999999999767,Loss
2025-05-31 07:54:00,103826.28,2025-05-31 08:12:00,103644.25,MACD,-182.02999999999884,Loss
2025-05-31 08:30:00,103664.46,2025-05-31 08:42:00,103533.51,MACD,-130.95000000001164,Loss
2025-05-31 08:49:00,103750.6,2025-05-31 09:16:00,103678.37,MACD,-72.23000000001048,Loss
2025-05-31 09:49:00,103548.9,2025-05-31 10:11:00,103402.71,MACD,-146.18999999998778,Loss
2025-05-31 10:19:00,103560.29,2025-05-31 10:31:00,103414.49,MACD,-145.79999999998836,Loss
2025-05-31 10:51:00,103380.97,2025-05-31 11:40:00,103473.87,MACD,92.89999999999418,Win
2025-05-31 12:06:00,103652.71,2025-05-31 12:31:00,103744.36,MACD,91.64999999999418,Win
2025-05-31 12:54:00,103952.33,2025-05-31 13:19:00,104113.21,MACD,160.88000000000466,Win
2025-05-31 14:04:00,104301.89,2025-05-31 14:30:00,104345.72,MACD,43.830000000001746,Win
2025-05-31 14:58:00,104518.62,2025-05-31 15:39:00,104569.5,MACD,50.88000000000466,Win
2025-05-31 16:09:00,104658.04,2025-05-31 16:39:00,104627.89,MACD,-30.14999999999418,Loss
2025-05-31 17:11:00,104486.01,2025-05-31 17:34:00,104497.63,MACD,11.620000000009895,Win
